max_epochs,epochs_completed,best_epoch,best_dev_macro_f1,test_label_wise_accuracy,test_exact_match_accuracy,test_macro_f1,test_micro_f1,test_samples_f1,device,batch_size,lr,weight_decay,patience
5,5,5,0.5286665762642849,0.6862113402061856,0.37242268041237114,0.32429891962014734,0.37242268041237114,0.37242268041237114,cuda,192,0.001,0.0001,8
10,10,8,0.5749378386674678,0.7493556701030928,0.49871134020618557,0.4522455417210059,0.49871134020618557,0.49871134020618557,cuda,192,0.001,0.0001,8
15,15,11,0.5977831347340795,0.7300257731958764,0.46005154639175255,0.41415451742964016,0.46005154639175255,0.46005154639175255,cuda,192,0.001,0.0001,8
20,20,18,0.5980353010228844,0.7615979381443299,0.5231958762886598,0.48150007566044406,0.5231958762886598,0.5231958762886598,cuda,192,0.001,0.0001,8
25,25,25,0.6079101519149039,0.779639175257732,0.5592783505154639,0.5556717867448064,0.5592783505154639,0.5592783505154639,cuda,192,0.001,0.0001,8
30,30,26,0.6143161994754979,0.770618556701031,0.5412371134020618,0.5147408060095342,0.5412371134020618,0.5412371134020618,cuda,192,0.001,0.0001,8
40,34,26,0.6143161994754979,0.770618556701031,0.5412371134020618,0.5147408060095342,0.5412371134020618,0.5412371134020618,cuda,192,0.001,0.0001,8
